iter	Passed	Remaining
609	46006	29414
610	46088	29342
611	46165	29268
612	46242	29193
613	46319	29119
614	46401	29048
615	46483	28976
616	46561	28902
617	46637	28827
618	46712	28751
619	46790	28677
620	46868	28604
621	46942	28527
622	47016	28451
623	47090	28375
624	47166	28299
625	47238	28222
626	47311	28145
627	47386	28069
628	47462	27994
629	47537	27919
630	47612	27843
631	47685	27766
632	47762	27691
633	47837	27616
634	47911	27539
635	47987	27464
636	48064	27389
637	48138	27313
638	48213	27238
639	48287	27161
640	48360	27084
641	48439	27011
642	48514	26935
643	48601	26866
644	48683	26794
645	48768	26724
646	48849	26652
647	48928	26578
648	49007	26504
649	49088	26432
650	49164	26356
651	49242	26282
652	49315	26205
653	49391	26130
654	49470	26056
655	49551	25984
656	49628	25909
657	49705	25834
658	49787	25762
659	49877	25694
660	49959	25622
661	50041	25549
662	50120	25475
663	50203	25404
664	50283	25330
665	50364	25257
666	50447	25185
667	50529	25113
668	50613	25041
669	50690	24966
670	50765	24890
671	50843	24816
672	50926	24744
673	51005	24670
674	51085	24596
675	51161	24521
676	51235	24444
677	51310	24368
678	51387	24293
679	51464	24218
680	51540	24143
681	51617	24067
682	51691	23991
683	51766	23915
684	51845	23841
685	51918	23764
686	51993	23688
687	52067	23611
688	52142	23536
689	52220	23461
690	52303	23388
691	52379	23313
692	52456	23238
693	52531	23162
694	52607	23086
695	52683	23011
696	52758	22935
697	52835	22859
698	52909	22783
699	52986	22708
700	53060	22632
701	53134	22555
702	53208	22479
703	53285	22404
704	53360	22328
705	53436	22252
706	53513	22177
707	53592	22103
708	53674	22029
709	53751	21955
710	53826	21878
711	53904	21804
712	53977	21727
713	54055	21652
714	54131	21576
715	54209	21501
716	54283	21425
717	54357	21349
718	54433	21273
719	54508	21197
720	54588	21123
721	54667	21049
722	54751	20976
723	54829	20901
724	54902	20825
725	54977	20749
726	55053	20673
727	55130	20598
728	55203	20521
729	55278	20445
730	55355	20370
731	55435	20296
732	55517	20222
733	55590	20145
734	55665	20069
735	55739	19993
736	55812	19916
737	55888	19841
738	55964	19765
739	56042	19690
740	56122	19616
741	56200	19541
742	56280	19467
743	56362	19393
744	56439	19318
745	56516	19242
746	56591	19166
747	56667	19091
748	56743	19015
749	56822	18940
750	56899	18865
751	56974	18789
752	57049	18713
753	57125	18637
754	57198	18561
755	57274	18485
756	57352	18410
757	57432	18336
758	57508	18260
759	57580	18183
760	57656	18107
761	57733	18032
762	57808	17956
763	57882	17880
764	57955	17803
765	58035	17728
766	58106	17651
767	58179	17575
768	58255	17499
769	58328	17422
770	58402	17346
771	58478	17270
772	58569	17199
773	58647	17124
774	58729	17050
775	58814	16977
776	58889	16901
777	58964	16825
778	59038	16749
779	59112	16672
780	59189	16597
781	59263	16521
782	59340	16445
783	59414	16369
784	59489	16293
785	59567	16218
786	59647	16143
787	59727	16068
788	59803	15993
789	59881	15917
790	59959	15842
791	60034	15766
792	60107	15690
793	60183	15614
794	60256	15537
795	60331	15461
796	60410	15386
797	60492	15312
798	60576	15238
799	60656	15164
800	60733	15088
801	60808	15012
802	60882	14936
803	60955	14859
804	61030	14783
805	61104	14707
806	61180	14631
807	61255	14555
808	61329	14479
809	61406	14403
810	61482	14328
811	61558	14252
812	61635	14176
813	61712	14101
814	61792	14026
815	61871	13951
816	61953	13877
817	62026	13800
818	62101	13724
819	62175	13648
820	62248	13571
821	62324	13496
822	62397	13419
823	62472	13343
824	62547	13267
825	62623	13191
826	62699	13116
827	62774	13040
828	62847	12963
829	62923	12887
830	62997	12811
831	63071	12735
832	63146	12659
833	63225	12584
834	63300	12508
835	63375	12432
836	63450	12356
837	63525	12280
838	63600	12204
839	63677	12128
840	63758	12054
841	63838	11979
842	63913	11903
843	63987	11827
844	64060	11750
845	64136	11674
846	64211	11599
847	64287	11523
848	64362	11447
849	64437	11371
850	64511	11295
851	64585	11219
852	64662	11143
853	64736	11067
854	64814	10991
855	64892	10916
856	64966	10840
857	65041	10764
858	65120	10689
859	65195	10613
860	65277	10538
861	65361	10463
862	65436	10388
863	65511	10312
864	65587	10236
865	65664	10160
866	65740	10084
867	65815	10008
868	65894	9933
869	65971	9857
870	66047	9782
871	66120	9705
872	66193	9629
873	66266	9553
874	66342	9477
875	66420	9401
876	66496	9326
877	66573	9250
878	66651	9174
879	66728	9099
880	66803	9023
881	66885	8948
882	66967	8873
883	67040	8797
884	67116	8721
885	67194	8645
886	67266	8569
887	67340	8493
888	67416	8417
889	67492	8341
890	67566	8265
891	67643	8190
892	67721	8114
893	67797	8038
894	67870	7962
895	67945	7886
896	68021	7810
897	68099	7735
898	68174	7659
899	68248	7583
900	68325	7507
901	68397	7431
902	68471	7355
903	68548	7279
904	68636	7204
905	68826	7140
906	68904	7065
907	68975	6988
908	69054	6913
909	69127	6836
910	69200	6760
911	69273	6684
912	69341	6607
913	69414	6531
914	69487	6455
915	69558	6378
916	69633	6302
917	69706	6226
918	69778	6150
919	69852	6074
920	69926	5998
921	70004	5922
922	70079	5846
923	70155	5770
924	70229	5694
925	70305	5618
926	70379	5542
927	70453	5466
928	70528	5390
929	70603	5314
930	70677	5238
931	70754	5162
932	70832	5086
933	70908	5010
934	70983	4934
935	71062	4858
936	71137	4782
937	71235	4708
938	71318	4633
939	71396	4557
940	71473	4481
941	71547	4405
942	71620	4329
943	71694	4253
944	71768	4176
945	71843	4101
946	71917	4024
947	71991	3948
948	72066	3872
949	72140	3796
950	72214	3720
951	72290	3644
952	72366	3568
953	72439	3492
954	72513	3416
955	72585	3340
956	72660	3264
957	72737	3188
958	72812	3112
959	72887	3036
960	72959	2960
961	73034	2884
962	73107	2808
963	73182	2732
964	73256	2656
965	73330	2581
966	73405	2505
967	73479	2429
968	73556	2353
969	73631	2277
970	73706	2201
971	73779	2125
972	73854	2049
973	73928	1973
974	74006	1897
975	74079	1821
976	74154	1745
977	74228	1669
978	74305	1593
979	74382	1518
980	74460	1442
981	74535	1366
982	74610	1290
983	74684	1214
984	74761	1138
985	74837	1062
986	74912	986
987	74986	910
988	75064	834
989	75137	758
990	75210	683
991	75288	607
992	75363	531
993	75436	455
994	75510	379
995	75583	303
996	75658	227
997	75733	151
998	75809	75
999	75888	0
